date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020-06-15,17:54:33,22.9026778,120.2730034,20.288,5,-95,-72,-178,36,-1011,-41.12200927734375,-12.234254837036133,-20.288314819335938,-0.2445528507232666,-1.1714484691619873,-0.028190020471811295,0,0
2020-06-15,17:54:36,22.9027261,120.2729012,20.17,53,-19,74,-161,7,-996,-35.74501419067383,-22.71329689025879,-20.17093276977539,-0.1669645607471466,-1.0902833938598633,-0.019042793661355972,0,0
2020-06-15,17:54:39,22.9027868,120.2727755,20.008,62,52,-18,-166,-5,-1011,-28.99673080444336,-35.60723114013672,-20.008590698242188,-0.14377222955226898,-1.0349948406219482,-0.029578067362308502,0,0
2020-06-15,17:54:42,22.9028452,120.2726601,20.055,-56,292,-63,-75,131,-983,-22.493621826171875,-47.44551086425781,-20.05517578125,-0.06374244391918182,-1.007010579109192,-0.0005269469693303108,0,0
2020-06-15,17:54:45,22.9028928,120.2725927,19.702,-33,-29,-150,-4,-18,-1043,-17.197834014892578,-54.357383728027344,-19.70235824584961,-0.014701863750815392,-0.30630189180374146,0.11830169707536697,0,0
2020-06-15,17:54:48,22.9029394,120.2726375,19.885,-44,62,39,-88,93,-969,-11.997385025024414,-49.760414123535156,-19.885555267333984,-0.13559535145759583,0.6708341240882874,-0.0330623984336853,0,0
2020-06-15,17:54:51,22.9030179,120.2727169,20.182,13,-14,45,-83,24,-1053,-3.253350257873535,-41.61469268798828,-20.182540893554688,-0.10402671247720718,0.698676586151123,-0.052006881684064865,0,0
2020-06-15,17:54:54,22.9031062,120.2728044,20.375,-4,26,30,-35,64,-1093,6.578827857971191,-32.63953399658203,-20.375988006591797,0.033768244087696075,0.7435578107833862,-0.07459892332553864,0,0
2020-06-15,17:54:57,22.9031495,120.2728396,25.727,-62,-51,0,33,105,-1023,11.395495414733887,-29.032217025756836,-25.727718353271484,0.07439576834440231,0.6712859272956848,-0.03729758411645889,0,0
2020-06-15,17:55:00,22.9031442,120.2728505,29.742,-31,9,37,-22,73,-953,10.799040794372559,-27.91689109802246,-29.742530822753906,-0.01660277508199215,0.7055937647819519,0.025758955627679825,0,0
2020-06-15,17:55:03,22.9031172,120.2729129,30.053,62,-17,20,31,-84,-999,7.800322532653809,-21.522268295288086,-30.053794860839844,-0.050231896340847015,0.7241211533546448,0.027508452534675598,0,0
2020-06-15,17:55:06,22.9030768,120.2730308,30.056,19,29,-34,4,-41,-1012,3.304080009460449,-9.429367065429688,-30.056602478027344,-0.017093900591135025,0.698758602142334,0.013589320704340935,0,0
2020-06-15,17:55:09,22.9030514,120.2731157,30.11,17,-6,15,10,-67,-1034,0.47292041778564453,-0.7230606079101562,-30.110233306884766,0.0743093192577362,0.6920342445373535,-0.14663001894950867,0,0
2020-06-15,17:55:12,22.9030475,120.273123,30.299,11,17,41,58,63,-943,0.04133415222167969,0.02535247802734375,-30.299522399902344,0.015569567680358887,0.6728504300117493,-0.08941935002803802,0,0
2020-06-15,17:55:15,22.9030457,120.2731248,29.529,8,-28,-32,37,130,-909,-0.16149616241455078,0.2104625701904297,-29.52904510498047,0.022068314254283905,0.6884442567825317,-0.0977485328912735,0,0
2020-06-15,17:55:18,22.9030458,120.2731223,25.373,-123,40,30,98,58,-968,-0.15155792236328125,-0.045673370361328125,-25.373329162597656,0.003820156678557396,0.6812118887901306,-0.04338588938117027,0,0
